
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     2,160 |       8,364,677 |     3,872.5 |     3,903.0 |    3,743 |     5,056 |       113.0 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_1<xmma__5x_cudnn::im… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     2,160 |       5,852,446 |     2,709.5 |     2,656.0 |    2,432 |     3,424 |       163.3 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_2<xmma__5x_cudnn::im… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       135 |       5,320,422 |    39,410.5 |    39,455.0 |   38,303 |    40,224 |       386.3 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |     2,160 |       4,485,642 |     2,076.7 |     2,143.0 |    1,824 |     2,912 |       127.3 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_0<xmma__5x_cudnn::im… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       135 |       4,316,833 |    31,976.5 |    31,871.0 |   31,072 |    38,559 |       873.5 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |       136 |       2,201,934 |    16,190.7 |    14,816.0 |   13,888 |   195,516 |    15,496.0 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |         5 |       1,455,744 |   291,148.8 |   291,225.0 |  290,650 |   291,706 |       435.8 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |         5 |         971,371 |   194,274.2 |   194,524.0 |  193,052 |   194,972 |       822.6 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |         5 |         667,921 |   133,584.2 |   133,629.0 |  133,277 |   133,821 |       215.4 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool… |
| :inference_3d_cascade_fullres | PushPop | 406,599 | 407,082 |         1 |        10 |         659,249 |    65,924.9 |    66,078.5 |   44,959 |    86,558 |    21,347.8 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c… |
